name,platform,release_date,meta_score,user_review,genre,target_age
Velocity 2X,Switch,20-Sep-18,87.5,7.99,Top-Down Shoot-`Em-Up,E
Dragon Ball FighterZ,Switch,28-Sep-18,86.8,7.85,Fighting,T
Guacamelee! Super Turbo Championship Edition,Switch,08-Oct-18,85.8,8.02,Metroidvania,E
Transistor,Switch,01-Nov-18,86.4,8.24,ARPG,T
Diablo III: Eternal Collection,Switch,02-Nov-18,87.7,7.52,ARPG,M
Sid Meier`s Civilization VI,Switch,16-Nov-18,86.4,7.56,Strategy,E
Warframe,Switch,20-Nov-18,85.8,8.31,TPS,M
Monster Boy and the Cursed Kingdom,Switch,04-Dec-18,86.5,8.27,Metroidvania,E
Katamari Damacy REROLL,Switch,07-Dec-18,87.1,8.31,Adventure,E
Super Smash Bros. Ultimate,Switch,07-Dec-18,93.3,8.55,Fighting,E
Guacamelee! 2,Switch,10-Dec-18,87.3,8.25,Metroidvania,E
Downwell,Switch,31-Jan-19,88.1,7.31,ARPG,E
BlazBlue: Central Fiction - Special Edition,Switch,07-Feb-19,85.6,8.55,Fighting,T
Steins;Gate Elite,Switch,19-Feb-19,85,7.89,Visual Novel,M
Assault Android Cactus+,Switch,08-Mar-19,85.5,8.42,Top-Down Shoot-`Em-Up,E
Blaster Master Zero II,Switch,20-Mar-19,84.8,8.53,Top-Down Shoot-`Em-Up,E
Cuphead,Switch,17-Apr-19,86.5,8.39,Platformer,E
Final Fantasy XII: The Zodiac Age,Switch,30-Apr-19,84.8,8.55,JRPG,T
Beat Saber,PC,21-May-19,93.3,8.45,Rhythm,E
Slay the Spire,Switch,06-Jun-19,85.5,8.35,Card Battle,E
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,Switch,13-Jun-19,85.5,8.06,Rhythm,E
Super Mario Maker 2,Switch,28-Jun-19,87.7,8.53,Platformer,E
Final Fantasy XIV: Shadowbringers,PC,02-Jul-19,89.5,9.12,RPG,T
What Remains of Edith Finch,Switch,04-Jul-19,88,7.76,Adventure,T
Dragon Quest Builders 2,Switch,12-Jul-19,85.1,8.28,Sandbox,E
Tetris Effect,PC,23-Jul-19,89.8,6.59,Puzzle,E
Fire Emblem: Three Houses,Switch,26-Jul-19,89.4,8.79,Strategy,T
Astral Chain,Switch,30-Aug-19,87.2,9.02,Adventure,T
Divinity: Original Sin II - Definitive Edition,Switch,04-Sep-19,93.2,8.47,RPG,M
Star Wars Pinball,Switch,13-Sep-19,86.4,7.37,Pinball,E10+
AI: The Somnium Files,Switch,17-Sep-19,86.4,8.79,Adventure,M
The Legend of Zelda: Link`s Awakening,Switch,20-Sep-19,87.4,8.42,Open-World,E
Ori and the Blind Forest: Definitive Edition,Switch,27-Sep-19,90.2,8.6,Metroidvania,E
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Switch,27-Sep-19,90.6,8.85,JRPG,T
Disco Elysium,PC,15-Oct-19,90.6,8.41,RPG,M
The Witcher 3: Wild Hunt - Complete Edition,Switch,15-Oct-19,84.5,8.52,ARPG,M
Tangle Tower,Switch,22-Oct-19,84.9,8.31,Adventure,T
Luigi`s Mansion 3,Switch,31-Oct-19,85.8,8.53,Adventure,E
Red Dead Redemption 2,PC,05-Nov-19,92.8,6.19,Open-World,M
Kentucky Route Zero: TV Edition,Switch,28-Jan-20,87.2,7.27,Adventure,T
Two Point Hospital,Switch,25-Feb-20,85.5,8.11,Tycoon,E10+
Animal Crossing: New Horizons,Switch,20-Mar-20,90.2,5.55,Virtual Life,E
Half-Life: Alyx,PC,23-Mar-20,93.5,9.15,FPS,M
